category,name,address_text,ref,campus,source
KEY LOCATIONS,Emergency & First Aid -,9850 9999 4 Link Road,P2,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
KEY LOCATIONS,Security & Information,4 Link Road,P2,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
KEY LOCATIONS,First Aid Room,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
KEY LOCATIONS,Service Connect,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
KEY LOCATIONS,Student Wellbeing,12 Second Way,P16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Access and Widening Participation,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Admissions and Scholarships,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Archives & Records Management,19 Eastern Road,H20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Business Intelligence Reporting,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Campus Life,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Chancellery,19 Eastern Road,H20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Corporate Engagement & Advancement,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Financial Services,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Group Marketing,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Human Resources,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Information Technology,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Participation & Community Engagement,8 Sir Christopher Ondaatje Ave,P20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Property,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Service Connect,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ADMINISTRATION,Tech Bar,18 Wally’s Walk,N16,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Faculty Administration,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Department of Critical Indigenous Studies,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Department of History and Archaeology,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,"Department of Media, Communication, Creative Arts, Lan guage & Literature 10 Hadenfeld Avenue  R6 Department of Philosophy",17 Wally’s Walk,O19,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Department of Security Studies & Criminology,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Macquarie Law School,17 Wally’s Walk,O19,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Macquarie School of Education,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Macquarie School of Social Sciences,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF ARTS,Macquarie University Special Education Centre,14 First Walk,O10,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Faculty Administration,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Department of Accounting & Corporate Governance,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Department of Actuarial Studies & Business Anal ytics 4 Eastern Road  Q22 Department of Economics,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Department of Applied Finance,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Department of Management,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MACQUARIE BUSINESS SCHOOL,Department of Marketing,4 Eastern Road,Q22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Faculty Administration,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Australian Institute of Health Innovation,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Centre for Emotional Health,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Department of Chiropractic,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Department of Health Sciences,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Department of Linguistics,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Macquarie Medical School,75 Talavera Road,M28,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Macquarie University Psychology Clinic,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",Macquarie University Reading Clinic,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FACULTY OF MEDICINE, HEALTH & HUMAN SCIENCES",School of Psychological Sciences,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,Australian Astronomical Optics,9 Wally’s Walk,O22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,Australian Proteome Analysis Facility,4 Wally’s Walk,M24,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,School of Engineering,9 Wally’s Walk,O22,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,School of Computing,4 Research Park Drive,O26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,School of Mathematical & Physical Sciences,12 Wally’s Walk,N20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
FACULTY OF SCIENCE & ENGINEERING,School of Natural Sciences,6 Wally’s Walk,M23,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Ainsworth Building (Teaching),1 Wally’s Walk,N27,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Graduation Venue,1 Central Courtyard,K18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Lighthouse Theatre (Performance),11 Gymnasium Road,H14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Lotus Theatre (Teaching & Entertainment),27 Wally’s Walk,O11,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Macquarie Theatre (Teaching & Entertainment),21 Wally’s Walk,O15,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Michael Kirby Law Building (Teaching),17 Wally’s Walk,O19,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
VENUES,Price Theatre (Teaching),23 Wally’s Walk,O14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,Art Gallery,19 Eastern Road,H20,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,Biology Discovery Centre,6 Science Road,L23,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,Herbarium,6 Wally’s Walk,M23,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,Lachlan Macquarie Room,16 Macquarie Walk,Q17,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,Sporting Hall of Fame Museum,10 Gymnasium Road,J12,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
ART GALLERY & MUSEUMS,The Gale History Museum,25C Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Crunch Café,10 Gymnasium Road,J12,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Cult Eatery,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Esc Café,4 Research Park Drive,O26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Lachlan’s Restaurant,1 Executive Road,E23,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Library Café,16 Macquarie Walk,Q17,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",UBar,1 Central Courtyard,K18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Wally's Coffee and Toasties,18 Wally’s Walk,N15,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
